method	metric	value	signal_strength	rep
Focused_BH_original	power	10	2.5	204
Leaf_BH_1	power	0	2.5	204
Leaf_BH_2	power	10	2.5	204
Leaf_BH_3	power	6	2.5	204
Focused_BH_original	fdp	0	2.5	204
Leaf_BH_1	fdp	0	2.5	204
Leaf_BH_2	fdp	0.16666666666666666	2.5	204
Leaf_BH_3	fdp	0	2.5	204
Focused_BH_original	power	11	2.5	217
Leaf_BH_1	power	4	2.5	217
Leaf_BH_2	power	10	2.5	217
Leaf_BH_3	power	6	2.5	217
Focused_BH_original	fdp	0.26666666666666666	2.5	217
Leaf_BH_1	fdp	0.2	2.5	217
Leaf_BH_2	fdp	0.09090909090909091	2.5	217
Leaf_BH_3	fdp	0	2.5	217
Focused_BH_original	power	15	2.5	230
Leaf_BH_1	power	11	2.5	230
Leaf_BH_2	power	10	2.5	230
Leaf_BH_3	power	8	2.5	230
Focused_BH_original	fdp	0.0625	2.5	230
Leaf_BH_1	fdp	0.08333333333333333	2.5	230
Leaf_BH_2	fdp	0.16666666666666666	2.5	230
Leaf_BH_3	fdp	0	2.5	230
Focused_BH_original	power	9	2.5	243
Leaf_BH_1	power	3	2.5	243
Leaf_BH_2	power	9	2.5	243
Leaf_BH_3	power	6	2.5	243
Focused_BH_original	fdp	0.18181818181818182	2.5	243
Leaf_BH_1	fdp	0.25	2.5	243
Leaf_BH_2	fdp	0.1	2.5	243
Leaf_BH_3	fdp	0.25	2.5	243
Focused_BH_original	power	17	3	6
Leaf_BH_1	power	14	3	6
Leaf_BH_2	power	10	3	6
Leaf_BH_3	power	6	3	6
Focused_BH_original	fdp	0.19047619047619047	3	6
Leaf_BH_1	fdp	0.2222222222222222	3	6
Leaf_BH_2	fdp	0.16666666666666666	3	6
Leaf_BH_3	fdp	0	3	6
Focused_BH_original	power	12	3	19
Leaf_BH_1	power	10	3	19
Leaf_BH_2	power	10	3	19
Leaf_BH_3	power	8	3	19
Focused_BH_original	fdp	0.07692307692307693	3	19
Leaf_BH_1	fdp	0.09090909090909091	3	19
Leaf_BH_2	fdp	0.09090909090909091	3	19
Leaf_BH_3	fdp	0.1111111111111111	3	19
Focused_BH_original	power	13	3	32
Leaf_BH_1	power	8	3	32
Leaf_BH_2	power	10	3	32
Leaf_BH_3	power	8	3	32
Focused_BH_original	fdp	0	3	32
Leaf_BH_1	fdp	0	3	32
Leaf_BH_2	fdp	0	3	32
Leaf_BH_3	fdp	0	3	32
Focused_BH_original	power	13	3	45
Leaf_BH_1	power	7	3	45
Leaf_BH_2	power	10	3	45
Leaf_BH_3	power	8	3	45
Focused_BH_original	fdp	0.07142857142857142	3	45
Leaf_BH_1	fdp	0	3	45
Leaf_BH_2	fdp	0.23076923076923078	3	45
Leaf_BH_3	fdp	0	3	45
Focused_BH_original	power	12	3	58
Leaf_BH_1	power	3	3	58
Leaf_BH_2	power	10	3	58
Leaf_BH_3	power	5	3	58
Focused_BH_original	fdp	0.14285714285714285	3	58
Leaf_BH_1	fdp	0	3	58
Leaf_BH_2	fdp	0	3	58
Leaf_BH_3	fdp	0.16666666666666666	3	58
Focused_BH_original	power	12	3	71
Leaf_BH_1	power	9	3	71
Leaf_BH_2	power	10	3	71
Leaf_BH_3	power	9	3	71
Focused_BH_original	fdp	0.07692307692307693	3	71
Leaf_BH_1	fdp	0.1	3	71
Leaf_BH_2	fdp	0	3	71
Leaf_BH_3	fdp	0.18181818181818182	3	71
Focused_BH_original	power	14	3	84
Leaf_BH_1	power	10	3	84
Leaf_BH_2	power	10	3	84
Leaf_BH_3	power	8	3	84
Focused_BH_original	fdp	0.125	3	84
Leaf_BH_1	fdp	0.09090909090909091	3	84
Leaf_BH_2	fdp	0.09090909090909091	3	84
Leaf_BH_3	fdp	0.2727272727272727	3	84
Focused_BH_original	power	10	3	97
Leaf_BH_1	power	2	3	97
Leaf_BH_2	power	10	3	97
Leaf_BH_3	power	4	3	97
Focused_BH_original	fdp	0.16666666666666666	3	97
Leaf_BH_1	fdp	0	3	97
Leaf_BH_2	fdp	0.16666666666666666	3	97
