method	metric	value	signal_strength	rep
Leaf_BH	power	5	2.5	191
Focused_BH_original	power	2	2.5	191
Yekutieli	power	0	2.5	191
Structured_Holm	power	2	2.5	191
BH	fdp	0	2.5	191
Leaf_BH	fdp	0	2.5	191
Focused_BH_original	fdp	0	2.5	191
Yekutieli	fdp	0	2.5	191
Structured_Holm	fdp	0	2.5	191
BH	power	10	2.5	204
Leaf_BH	power	10	2.5	204
Focused_BH_original	power	8	2.5	204
Yekutieli	power	0	2.5	204
Structured_Holm	power	2	2.5	204
BH	fdp	0	2.5	204
Leaf_BH	fdp	0	2.5	204
Focused_BH_original	fdp	0	2.5	204
Yekutieli	fdp	0	2.5	204
Structured_Holm	fdp	0	2.5	204
BH	power	11	2.5	217
Leaf_BH	power	11	2.5	217
Focused_BH_original	power	11	2.5	217
Yekutieli	power	0	2.5	217
Structured_Holm	power	3	2.5	217
BH	fdp	0.26666666666666666	2.5	217
Leaf_BH	fdp	0.21428571428571427	2.5	217
Focused_BH_original	fdp	0.26666666666666666	2.5	217
Yekutieli	fdp	0	2.5	217
Structured_Holm	fdp	0	2.5	217
BH	power	4	2.5	230
Leaf_BH	power	4	2.5	230
Focused_BH_original	power	4	2.5	230
Yekutieli	power	0	2.5	230
Structured_Holm	power	2	2.5	230
BH	fdp	0	2.5	230
Leaf_BH	fdp	0	2.5	230
Focused_BH_original	fdp	0	2.5	230
Yekutieli	fdp	0	2.5	230
Structured_Holm	fdp	0	2.5	230
BH	power	5	2.5	243
Leaf_BH	power	4	2.5	243
Focused_BH_original	power	5	2.5	243
Yekutieli	power	0	2.5	243
Structured_Holm	power	1	2.5	243
BH	fdp	0.2857142857142857	2.5	243
Leaf_BH	fdp	0.2	2.5	243
Focused_BH_original	fdp	0.16666666666666666	2.5	243
Yekutieli	fdp	0	2.5	243
Structured_Holm	fdp	0.5	2.5	243
BH	power	13	3	6
Leaf_BH	power	13	3	6
Focused_BH_original	power	12	3	6
Yekutieli	power	0	3	6
Structured_Holm	power	7	3	6
BH	fdp	0.23529411764705882	3	6
Leaf_BH	fdp	0.23529411764705882	3	6
Focused_BH_original	fdp	0.25	3	6
Yekutieli	fdp	0	3	6
Structured_Holm	fdp	0	3	6
BH	power	6	3	19
Leaf_BH	power	4	3	19
Focused_BH_original	power	4	3	19
Yekutieli	power	0	3	19
Structured_Holm	power	4	3	19
BH	fdp	0.14285714285714285	3	19
Leaf_BH	fdp	0.2	3	19
Focused_BH_original	fdp	0.2	3	19
Yekutieli	fdp	0	3	19
Structured_Holm	fdp	0	3	19
BH	power	5	3	32
Leaf_BH	power	5	3	32
Focused_BH_original	power	5	3	32
Yekutieli	power	0	3	32
Structured_Holm	power	4	3	32
BH	fdp	0	3	32
Leaf_BH	fdp	0	3	32
Focused_BH_original	fdp	0	3	32
Yekutieli	fdp	0	3	32
Structured_Holm	fdp	0	3	32
BH	power	14	3	45
Leaf_BH	power	14	3	45
Focused_BH_original	power	14	3	45
Yekutieli	power	0	3	45
Structured_Holm	power	4	3	45
BH	fdp	0.06666666666666667	3	45
Leaf_BH	fdp	0	3	45
Focused_BH_original	fdp	0.06666666666666667	3	45
Yekutieli	fdp	0	3	45
Structured_Holm	fdp	0	3	45
BH	power	1	3	58
Leaf_BH	power	1	3	58
